cik,AccountsPayableCurrent_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,DeferredTaxAssetsValuationAllowance_USD,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeTaxExpenseBenefit_USD,InterestPaidNet_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,OperatingIncomeLoss_USD,OperatingLeaseRightOfUseAsset_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,ProceedsFromIssuanceOfCommonStock_USD,ProfitLoss_USD,PropertyPlantAndEquipmentNet_USD,RetainedEarningsAccumulatedDeficit_USD,ShareBasedCompensation_USD,StockIssuedDuringPeriodValueNewIssues_USD,StockholdersEquity_USD,UnrecognizedTaxBenefits_USD,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares
4447,200000000.0,-755000000.0,,3081000000.0,18821000000.0,1739000000.0,,,,600000000.0,306980092.0,307000000.0,307000000.0,5391000000.0,,306986553.0,,,,,18821000000.0,1623000000.0,12486000000.0,,,,,,426000000.0,,,,,,,14115000000.0,130000000.0,,,5366000000.0,166000000.0,,
4457,,85910000.0,453819000.0,,14447305000.0,1398840000.0,,,,,,,,,,,,,,,14447305000.0,,9690150000.0,,,,,,97186000.0,,,,,,,8025224000.0,4884579000.0,,,4757155000.0,,,
4904,1709700000.0,-85100000.0,6588900000.0,4351500000.0,80757200000.0,392700000.0,,,438300000.0,600000000.0,516808354.0,,3359300000.0,,,496604194.0,39549558010.0,,,,80757200000.0,9926700000.0,59937500000.0,,,,,,866400000.0,,,,,,,63901600000.0,10687800000.0,,,20550900000.0,13200000.0,,
4962,,-2895000000.0,11881000000.0,,191367000000.0,,,,32965000000.0,3600000000.0,805000000.0,805000000.0,161000000.0,418000000.0,,805588980.0,,,,,191367000000.0,,168383000000.0,,,,,,,,20000000.0,1600.0,1600.0,,,5015000000.0,13837000000.0,,,22984000000.0,790000000.0,,
4969,,-1099000000.0,161000000.0,,24308000000.0,,,,601000000.0,3000000.0,1500000.0,1500000.0,0.0,,,,,,,,24308000000.0,,21413000000.0,,,,,,,,,,,,,,3833000000.0,,,2895000000.0,98000000.0,,
4977,,8934000000.0,,,165086000000.0,5141000000.0,,,5141000000.0,1900000000.0,1351018000.0,692454000.0,135000000.0,0.0,,,,,,,165086000000.0,,131527000000.0,,,,,,,,,,,,,601000000.0,37984000000.0,,,33559000000.0,19000000.0,,
5272,,13511000000.0,,,586481000000.0,,,,3230000000.0,5000000000.0,1906671492.0,861558049.0,4766000000.0,1330000000.0,,864790669.0,,,,,586481000000.0,,519282000000.0,,,,,,906000000.0,,100000000.0,20000.0,,,,1840000000.0,15504000000.0,,,66362000000.0,2343000000.0,,
5513,,374200000.0,,,70625800000.0,,,,197000000.0,725000000.0,306566572.0,,30700000.0,14500000.0,,203731259.0,3400000000.0,,,,70625800000.0,,59754800000.0,,,,,,82900000.0,,25000000.0,0.0,,,,498000000.0,11269600000.0,,,10871000000.0,219700000.0,,
5981,59253000.0,-9322000.0,,330250000.0,680293000.0,15923000.0,,,,33922433.0,33922433.0,,3394000.0,0.0,,,,,,,680293000.0,171324000.0,319557000.0,,,,,,12198000.0,,400000.0,0.0,,,,65382000.0,288182000.0,,,,,,
6176,26678000.0,-68695000.0,,171832000.0,463208000.0,16842000.0,,,,40000000.0,18312000.0,18312000.0,18312000.0,42454000.0,,,,,,,463208000.0,105332000.0,378209000.0,,,,,,4344000.0,,,,,,,162098000.0,-43371000.0,,,76564000.0,,,
6201,1196000000.0,-7103000000.0,,11095000000.0,62008000000.0,,,,399000000.0,1750000000.0,621479522.0,621479522.0,6000000.0,34000000.0,,639675800.0,,,,,62008000000.0,16569000000.0,,,,,,,8039000000.0,,,,,,,,-6664000000.0,,,-6867000000.0,,,
6207,,-6197000.0,,,95892000.0,15406000.0,,,15406000.0,20000000.0,7323370.0,,730000.0,,,7323370.0,,,,,95892000.0,,12485000.0,,,,,,109000.0,,,,,,,28000.0,43802000.0,,,83407000.0,,,
6281,227423000.0,-218501000.0,,2624741000.0,21440110000.0,1048063000.0,,,1048063000.0,1200000000.0,,368893742.0,61484000.0,,,368893742.0,,,,,21440110000.0,1676757000.0,,,,,,,,,471934.0,,0.0,,,1129214000.0,7395578000.0,,,12087746000.0,,,
6494,44630.0,,78086910.0,770229.0,1209904.0,362730.0,,,362730.0,200000000.0,68104957.0,68104957.0,681050.0,7031000.0,,,,,,,1209904.0,448738.0,2996724.0,,,,,,204081.0,,2497500.0,,,,,17725.0,-80563852.0,,,-1786820.0,,,
6769,444000000.0,14000000.0,11735000000.0,1846000000.0,12746000000.0,262000000.0,,,262000000.0,860000000.0,418429375.0,377482630.0,262000000.0,5991000000.0,,377860971.0,,,,,12746000000.0,1308000000.0,,,,,,,,,,,,,,8819000000.0,-10461000000.0,,,-1639000000.0,93000000.0,,
6845,69719000.0,-32034000.0,155974000.0,345635000.0,1085982000.0,55413000.0,,,55413000.0,50000000.0,25962041.0,25962041.0,8654000.0,,,26007703.0,,,,,1085982000.0,211700000.0,,,,,,,62950000.0,,,,,,,302082000.0,414749000.0,,,547343000.0,,,
6951,1076000000.0,-297000000.0,,14269000000.0,23305000000.0,6213000000.0,,,6328000000.0,,,,,,,914344189.0,,,,,23305000000.0,4504000000.0,11832000000.0,,,,,,241000000.0,,,,,,,1638000000.0,28137000000.0,,,11473000000.0,,,
6955,46954000.0,-99095000.0,,357815000.0,838575000.0,158568000.0,,,,,,,16525000.0,,,59871068.0,,,,,838575000.0,109704000.0,470629000.0,,,,,,,,,,,,,60219000.0,922269000.0,,,,,,
7039,14447000.0,,,105896000.0,316833000.0,55664000.0,,,55664000.0,40000000.0,24800000.0,24800000.0,2483000.0,226000.0,,,,,,,316833000.0,29584000.0,112426000.0,,,,,,10528000.0,,,,,,,187104000.0,140324000.0,,,204118000.0,,,
7084,4474000000.0,-2604000000.0,,27286000000.0,49719000000.0,666000000.0,,,4646000000.0,1000000000.0,,,2824000000.0,339000000.0,,,,,,,49719000000.0,18182000000.0,,,,,,,1102000000.0,,500000.0,0.0,,,,9779000000.0,19780000000.0,,,,151000000.0,,
7332,573000000.0,-38000000.0,,671000000.0,5160000000.0,13000000.0,,,13000000.0,2500000000.0,718795700.0,,7000000.0,1539000000.0,,,,,,,5160000000.0,1012000000.0,,,,,,,163000000.0,,,,,,,4111000000.0,-4363000000.0,,,497000000.0,0.0,,
7431,,-109300000.0,,311800000.0,1718500000.0,136900000.0,,,136900000.0,200000000.0,62599331.0,47913821.0,600000.0,79400000.0,,,,,,,1718500000.0,172300000.0,,,,,,,19200000.0,,,,,,,529900000.0,869800000.0,,,450900000.0,41700000.0,,
7536,7937889000.0,-104885000.0,,13152899000.0,17053911000.0,373615000.0,,,,160000000.0,125424000.0,,125424000.0,83942000.0,,74603233.0,,,,,17053911000.0,9130883000.0,,,,,,,306109000.0,,2000000000.0,,,,,799605000.0,6679751000.0,,,5089319000.0,62203000.0,,
