cik,AccountsPayableCurrent_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,DeferredTaxAssetsValuationAllowance_USD,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeTaxExpenseBenefit_USD,InterestPaidNet_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,OperatingIncomeLoss_USD,OperatingLeaseRightOfUseAsset_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,ProceedsFromIssuanceOfCommonStock_USD,ProfitLoss_USD,PropertyPlantAndEquipmentNet_USD,RetainedEarningsAccumulatedDeficit_USD,ShareBasedCompensation_USD,StockIssuedDuringPeriodValueNewIssues_USD,StockholdersEquity_USD,UnrecognizedTaxBenefits_USD,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares
732026,3103000.0,2703000.0,,22150000.0,38363000.0,6222000.0,,,6222000.0,15000000.0,3710555.0,3710555.0,11525000.0,,,3710555.0,6644000.0,,,,38363000.0,8192000.0,11815000.0,,,,,,1514000.0,,,,,,,10050000.0,8263000.0,,,25869000.0,,,
732417,,8782000.0,,,3782362000.0,574310000.0,,,574310000.0,20000000.0,10330242.0,9330995.0,,1011000.0,,,,,,,3782362000.0,,3318957000.0,,,,,,2860000.0,,,,,,,35878000.0,439831000.0,,,416076000.0,0.0,,
732712,6667000000.0,-71000000.0,13404000000.0,54594000000.0,316481000000.0,22171000000.0,,,23498000000.0,6250000000.0,4291433646.0,,429000000.0,2183000000.0,,4138148588.0,,,,,316481000000.0,39660000000.0,,,,,,,22531000000.0,,250000000.0,0.0,,,,94833000000.0,60464000000.0,,,,2944000000.0,,
732717,31836000000.0,4330000000.0,,52008000000.0,525761000000.0,7924000000.0,,,9870000000.0,14000000000.0,7620748598.0,,7621000000.0,4773000000.0,,7131763496.0,,,,,525761000000.0,63438000000.0,,,,,,,24714000000.0,,10000000.0,,,,,,37457000000.0,,,,10001000000.0,,
732834,,,1205148000.0,852545000.0,14633098000.0,47470000.0,,,47470000.0,1000000000.0,365220435.0,365220435.0,3652000.0,14474000.0,,365193888.0,,,,,14633098000.0,860806000.0,,,,,,,8557000.0,,25000000.0,0.0,0.0,,,13737292000.0,4847646000.0,,,6056446000.0,,,
733076,,5421000000.0,18323000000.0,,235288000000.0,3684000000.0,,,3684000000.0,4000.0,3000.0,3000.0,75000000.0,0.0,,,,,,,235288000000.0,,217173000000.0,,,,,,,,,,,,,,-5719000000.0,,,18100000000.0,34000000.0,,
733269,,7814000.0,,858653000.0,1259500000.0,663401000.0,,,663401000.0,,,,14647000.0,,,66919411.0,,,,,1259500000.0,157332000.0,,,,,,,12536000.0,,,,,,,13521000.0,1487673000.0,,,1058501000.0,,,
733337,,,1310910.0,123685.0,224632.0,49729.0,,,,325000000.0,210342722.0,,210342.0,,,,,,,,224632.0,623242.0,701442.0,,,,,,,,,,,,,6447.0,-1998062.0,,,,,,
733590,,,260389000.0,,879082000.0,36761000.0,,,86967000.0,10000000.0,8639316.0,8639116.0,86000.0,6480000.0,,,,,,,879082000.0,,517551000.0,,,,,,,,,,,,,,81334000.0,,,341807000.0,,,
736012,408000.0,-43000.0,77187000.0,18307000.0,19882000.0,16704000.0,,,16704000.0,80000000.0,17428000.0,17418000.0,174000.0,20597000.0,,17538779.0,,,,,19882000.0,2142000.0,,,,,,,1010000.0,,5000000.0,0.0,,,,466000.0,-61295000.0,,,15661000.0,,,
736744,,,,,,,,,,,,,,,,72542071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
736772,,15074000.0,,,4729399000.0,532694000.0,,,532694000.0,50000000.0,16978057.0,,0.0,,,,,,,,4729399000.0,,4313262000.0,,,,,,18407000.0,,60375.0,60375.0,,,,60064000.0,218727000.0,,,416137000.0,,,
737207,2257000.0,,29772000.0,1000.0,1000.0,,,,1000.0,180000000.0,11112708.0,11112708.0,67000.0,10977000.0,,10869530.0,,,,,1000.0,14774000.0,14774000.0,,,,,,,,100000.0,,,,,,-44612000.0,,,-14773000.0,,,
737468,,-7391000.0,,,5713169000.0,,,,202268000.0,60000000.0,17363457.0,17265337.0,1085000.0,,,17265339.0,553933925.0,,,,5713169000.0,,5178974000.0,,,,,,29521000.0,,,,,,,28870000.0,418246000.0,,,534195000.0,0.0,,
737758,364361000.0,-32176000.0,,1456743000.0,2875138000.0,,,,433394000.0,175000000.0,107613431.0,107613431.0,107613000.0,,,107628246.0,,,,,2875138000.0,819541000.0,,,,,,,75467000.0,,,0.0,0.0,,,457147000.0,1104285000.0,,,1179722000.0,,,
737875,,12870000.0,,,1179047000.0,24180000.0,,,24180000.0,20000000.0,6115281.0,5883669.0,12231000.0,88000.0,,,,,,,1179047000.0,,1034805000.0,,,,,,1061000.0,,1000000.0,0.0,,,,,85307000.0,,,144242000.0,,,
738214,20739000.0,-4114000.0,,8683000.0,125139000.0,592000.0,,,592000.0,80000.0,22830.0,22830.0,23000.0,71145000.0,,,,,,,125139000.0,102235000.0,,,,,,,2889000.0,,65000.0,1323.0,1323.0,,,109880000.0,-274080000.0,,,-184744000.0,,,
739421,,2587000.0,75908000.0,,1891674000.0,68707000.0,,,68707000.0,25000000.0,4350342.0,,4350000.0,0.0,,,,,,,1891674000.0,,1697415000.0,,,,,,2286000.0,,3000000.0,0.0,,,,16948000.0,126627000.0,,,194259000.0,0.0,,
740260,,-54354000.0,,,23929404000.0,413327000.0,,,451640000.0,600000000.0,374609000.0,,93635000.0,127279000.0,,,,,,,23929404000.0,,13415723000.0,,,,,,346372000.0,,10000000.0,0.0,,,,,-4030376000.0,,,10180167000.0,6057000.0,,
740663,,3570000.0,,,4069141000.0,211182000.0,,,211182000.0,80000000.0,23790589.0,23790589.0,2379000.0,,,,,,,,4069141000.0,,3662023000.0,,,,,,12212000.0,,,,,,,38830000.0,295622000.0,,,407118000.0,0.0,,
740664,1510000.0,,,31802000.0,40635000.0,15489000.0,,,,20000000.0,9962456.0,9962456.0,100000.0,,,9848246.0,,,,,40635000.0,7315000.0,8477000.0,,,,,,1184000.0,,,,,,,846000.0,8617000.0,,,32158000.0,35000.0,,
740806,,-3017000.0,,,966930000.0,78408000.0,,,,6000000.0,3203372.0,3203372.0,16017000.0,,,,,,,,966930000.0,,871301000.0,,,,,,,,400000.0,205327.0,205327.0,,,17909000.0,71205000.0,,,95629000.0,,,
740971,,4069000.0,,,1226191000.0,,,,120437000.0,10000000.0,,5224019.0,25972000.0,,,,,,,,1226191000.0,,1109046000.0,,,,,,1364000.0,,,,,,,33613000.0,65859000.0,,,117145000.0,0.0,,
741516,,2437000.0,154850000.0,,3050010000.0,374370000.0,,,370320000.0,20000000.0,,10982367.0,10926000.0,,,,,,,,3050010000.0,,2712116000.0,,,,,,4878000.0,,2000000.0,,0.0,,,39723000.0,169681000.0,,,337894000.0,0.0,,
742112,85424000.0,45436000.0,326088000.0,374466000.0,945981000.0,105298000.0,,,105298000.0,,,,,163298000.0,,,,,,,945981000.0,230386000.0,,,,,,,15092000.0,,300000.0,,0.0,,,56243000.0,58538000.0,,,333846000.0,3262000.0,,
742278,41080000.0,-17706000.0,,428359000.0,790505000.0,84496000.0,,,84496000.0,349000000.0,214951093.0,214951093.0,21495000.0,546000.0,,,,,,,790505000.0,79565000.0,158938000.0,,,,,,27270000.0,,1000000.0,0.0,,,,264411000.0,627778000.0,,,631567000.0,0.0,,
743238,47487000.0,,0.0,156207000.0,359049000.0,20995000.0,,,,80000000.0,,35344000.0,91044000.0,82000.0,,,,,,,359049000.0,93363000.0,158890000.0,,,,,,43430000.0,,2000000.0,0.0,,,,45734000.0,109286000.0,,,200330000.0,1234000.0,,
743316,96959000.0,-14268000.0,42963000.0,2589093000.0,3882870000.0,1796961000.0,,,1803719000.0,,,268032000.0,,,,268041067.0,15055411611.0,,,,3882870000.0,456397000.0,1956809000.0,,,,,,49653000.0,,,,,,,541013000.0,,,,1926061000.0,,,
743367,,6740000.0,,,3724275000.0,226007000.0,,,226007000.0,20000000.0,16428388.0,,32857000.0,,,,,,,,3724275000.0,,3317210000.0,,,,,,10338000.0,,,,,,,52458000.0,195607000.0,,,407065000.0,0.0,,
743758,1575880.0,,31486837.0,384327.0,647940.0,10538.0,,,10538.0,2000000000.0,683940104.0,683940104.0,683949.0,3427761.0,,,,,,,647940.0,5168432.0,5363985.0,,,,,,171549.0,,5000000.0,147460.0,147460.0,,,55682.0,-36886978.0,,,-4716045.0,,,
743988,110075000.0,-1822000.0,,3967249000.0,5748965000.0,1125566000.0,,,1125566000.0,,,,2451000.0,,,245277000.0,,,,,5748965000.0,1114092000.0,,,,,,,48655000.0,,,,,,,351513000.0,1315239000.0,,,2598891000.0,152300000.0,,
744187,,,,258750000.0,479345000.0,144501000.0,,,146158000.0,45000000.0,29853000.0,5992000.0,299000.0,232000.0,,5992002.0,,,,,479345000.0,30737000.0,,,,,,,12678000.0,,,,,,,150861000.0,589986000.0,,,384783000.0,8400000.0,,
744218,1048000.0,2589000.0,,197843000.0,235838000.0,43836000.0,,,43836000.0,297000000.0,39603771.0,39603771.0,40000.0,291382000.0,,,,,,,235838000.0,14206000.0,26481000.0,,,,,,3449000.0,,3000000.0,0.0,0.0,,,3815000.0,-1073096000.0,,,209357000.0,,,
744452,1518104.0,,,6540370.0,9677904.0,4241407.0,,,4241407.0,200000000.0,5661330.0,5661330.0,5663.0,,,5661330.0,,,,,9677904.0,2918511.0,3954993.0,,,,,,,,10000000.0,0.0,0.0,,,2174758.0,-274645206.0,,,5729142.0,,,
744825,683000.0,,,10850000.0,43653000.0,3961000.0,,,4325000.0,10000000.0,5791000.0,5791000.0,10753000.0,678000.0,,,,,,,43653000.0,12380000.0,,,,,,,886000.0,,,,,,,30418000.0,1497000.0,,,19274000.0,275000.0,,
745308,,-1472000.0,,,1037324000.0,106794000.0,,,110119000.0,180000000.0,58882549.0,58882549.0,,,,,,,,,1037324000.0,,469154000.0,,,,,,808000.0,,,,,,,20846000.0,255216000.0,,,550617000.0,,,
745543,,,121676146.0,40.0,40.0,40.0,,,,290000000.0,30920.0,30920.0,3.0,,,,,,,,40.0,112632.0,112632.0,,,,,,,,10000000.0,1000000.0,1000000.0,,,,-121789741.0,,,-112592.0,,,
745732,2256928000.0,,,6692491000.0,12717867000.0,4819293000.0,,,4953769000.0,1000000000.0,356503000.0,356503000.0,3565000.0,4089000.0,,,,,,,12717867000.0,3967033000.0,,,,,,,3084819000.0,,4000000.0,0.0,0.0,,,2710496000.0,2185801000.0,,,3290640000.0,60240000.0,,
746210,313000.0,,,9993000.0,29143000.0,,,,5277000.0,150000000.0,7861912.0,7748629.0,1000.0,30542000.0,,,,,,,29143000.0,5575000.0,7086000.0,,,,,,903000.0,,1938250.0,1829582.0,1829582.0,,,573000.0,-192855000.0,,,22057000.0,,,
746514,,,,,291669602.0,18646972.0,,,18646972.0,,,,,,,,,,,,291669602.0,,333138647.0,,,,,,,,,,,,,,,,,,,,
746515,1136859000.0,,,3963544000.0,4927503000.0,1527791000.0,,,1527791000.0,640000000.0,169294000.0,169294000.0,1693000.0,,,,,,,,4927503000.0,1893043000.0,,,,,,,432723000.0,,2000000.0,0.0,,,,506425000.0,2600201000.0,,,2659637000.0,,,
746598,67483000.0,-51461000.0,,567336000.0,1207882000.0,277588000.0,,,,,,,,,,,2104922847.0,,,,1207882000.0,201544000.0,288547000.0,,,,,,38849000.0,,,,,,,122088000.0,745960000.0,,,919335000.0,,,
746838,223200000.0,-3939500000.0,,1506000000.0,2707900000.0,898500000.0,,,906700000.0,150000000.0,66800000.0,,700000.0,1271500000.0,,63042870.0,,,,,2707900000.0,935100000.0,,,,,,,79300000.0,,40000000.0,,,,,110500000.0,-960500000.0,,,-356800000.0,30900000.0,,
747540,3880805.0,,,14787588.0,17856399.0,4387929.0,,,,50000000.0,5437526.0,5437526.0,5437.0,14160.0,,,,,,,17856399.0,5366004.0,7254475.0,,,,,,1636411.0,,5000000.0,,,,,102235.0,-6352055.0,,,10601924.0,,,
748268,,,11961152.0,1997948.0,12082563.0,,,,,500000000.0,27160926.0,27160926.0,27161.0,,,20721535.0,,,,,12082563.0,10896745.0,,,,,,,,,6500000.0,2885586.0,2885586.0,,,,-12663538.0,,,-646369.0,,,
748592,1275000.0,245000.0,0.0,1732000.0,12906000.0,777000.0,,,1630000.0,100000000.0,0.0,0.0,0.0,747000.0,,,,,,,12906000.0,3125000.0,5247000.0,,,,,,2093000.0,,156000.0,0.0,0.0,,,594000.0,-18141000.0,,,7659000.0,,,
748790,9724136.0,,31670954.0,22735313.0,206077922.0,38982725.0,,,23421894.0,500000000.0,42013433.0,42013433.0,358499.0,18264000.0,,358499606.0,,,,,206077922.0,28545717.0,234811995.0,,,,,,51611.0,,50000000.0,13000.0,13000.0,,,138972675.0,-66232439.0,,,-28734073.0,,,
749038,,-3305000.0,,46729000.0,64889000.0,16223000.0,,,,14000000.0,8839344.0,8839344.0,88000.0,,,8839344.0,,,,,64889000.0,3605000.0,8629000.0,,,,,,,,,,,,,,-150978000.0,,,,,,
749098,6266000000.0,-733000000.0,,13366000000.0,28605000000.0,3268000000.0,,,3374000000.0,,300527416.0,,3271000000.0,569000000.0,,300534534.0,,,,,28605000000.0,9743000000.0,16885000000.0,,,,,,1906000000.0,,99760000.0,0.0,,,,8475000000.0,8704000000.0,,,11370000000.0,182000000.0,,
749251,38588000.0,-99228000.0,1968930000.0,2323058000.0,7315967000.0,712583000.0,,,712583000.0,250000000.0,163602067.0,,82000.0,15717000.0,,88721548.0,,,,,7315967000.0,2947494000.0,6225539000.0,,,,,,647283000.0,,5000000.0,0.0,0.0,,,336765000.0,2255467000.0,,,1090428000.0,127080000.0,,
749647,2244847.0,,330669476.0,18824872.0,37527338.0,17164177.0,,,,112500000.0,2713424.0,2713402.0,27134.0,63782177.0,,,,,,,37527338.0,6753455.0,18916257.0,,,,,,1047336.0,,100000.0,0.0,0.0,,,294551.0,-312000341.0,,,18611081.0,,,
749660,2869000.0,,,42302000.0,55582000.0,27186000.0,,,27186000.0,60000000.0,23694406.0,23508575.0,236000.0,43356000.0,,,,,,,55582000.0,16751000.0,25057000.0,,,,,,1758000.0,,1000000.0,0.0,,6100000.0,,744000.0,-241935000.0,,,30525000.0,,,
750004,150000000.0,-218000000.0,,2181000000.0,7984000000.0,928000000.0,,,983000000.0,199000000.0,113000000.0,95000000.0,,298000000.0,,,,,,,7984000000.0,832000000.0,10508000000.0,,,,,,52000000.0,,,,,,,242000000.0,-3529000000.0,,,-2653000000.0,30000000.0,,
750558,,5649000.0,,,1440229000.0,39331000.0,,,39331000.0,10000000.0,3725202.0,3556533.0,2328000.0,,,,,,,,1440229000.0,,1305784000.0,,,,,,,,,,,,,15404000.0,106644000.0,,,134445000.0,0.0,,
750574,,7599000.0,,,956597000.0,,,,112575000.0,8500000.0,3957135.0,3566276.0,39000.0,,,,,,,,956597000.0,,848907000.0,,,,,,788000.0,,200000.0,0.0,,,,22193000.0,105617000.0,,,,,,
750577,,80069000.0,,,33638602000.0,,,,526306000.0,350000000.0,92947000.0,86728000.0,,,,86750409.0,,,,,33638602000.0,,30199577000.0,,,,,,110691000.0,,50000000.0,,,,,380516000.0,1291506000.0,,,3439025000.0,,,
750686,,20740000.0,,,4898745000.0,,,,145774000.0,40000000.0,14909097.0,14909097.0,131072000.0,0.0,,,,,,,4898745000.0,,4369431000.0,,,,,,13608000.0,,,,,,,39884000.0,377502000.0,,,529314000.0,,,
751364,,-16445000.0,4633771000.0,,7637844000.0,267236000.0,,,267236000.0,375000000.0,175232971.0,175232971.0,1753000.0,3892000.0,,175272901.0,,,,,7637844000.0,,3318540000.0,,,,,,,,15000000.0,,,,,,-644779000.0,,,4319300000.0,0.0,,
751365,8421000.0,-13585000.0,119655000.0,50967000.0,125036000.0,,,,402000.0,25000000.0,15918642.0,15918642.0,159000.0,1064000.0,,15918642.0,,,,,125036000.0,22106000.0,,,,,,,17596000.0,,3000000.0,0.0,0.0,,,36826000.0,-52042000.0,,,54187000.0,54000.0,,
751978,14121000.0,-204000.0,,316932000.0,396239000.0,161742000.0,,,161742000.0,,,,,37856000.0,,,,,,,396239000.0,40513000.0,45084000.0,,,,,,4449000.0,,,,,,,74843000.0,161008000.0,,,350820000.0,2297000.0,,
752294,21113.0,,931442.0,1761446.0,1832121.0,308110.0,,,308110.0,50000000.0,4946502.0,4946502.0,4947.0,341300.0,,,,,,,1832121.0,84916.0,285263.0,,,,,,65230.0,,,,,,,5445.0,610469.0,,,1546858.0,,,
752642,,,115026000.0,,1089413000.0,15336000.0,,,,144164000.0,41920000.0,41920000.0,4192000.0,,,,,,,,1089413000.0,,587605000.0,,,,,,3800000.0,,,,,,,,-25364000.0,,,501808000.0,,,
752714,,-104000.0,,,1275744000.0,1238000.0,,,,40000000.0,24128000.0,24128000.0,106289000.0,200000.0,,,,,,,1275744000.0,,593140000.0,,,,,,8300000.0,,,,,,,136210000.0,576419000.0,,,682604000.0,0.0,,
753308,,-92000000.0,,7382000000.0,127684000000.0,1105000000.0,,,1546000000.0,3200000000.0,,1960000000.0,20000000.0,289000000.0,,1959874682.0,,,,,127684000000.0,15558000000.0,82755000000.0,,,,,,535000000.0,,,,,,,91803000000.0,25363000000.0,,,36513000000.0,,,
754811,136000.0,8000.0,,31423000.0,42211000.0,21619000.0,,,22619000.0,,,,,145000.0,,,59914215.0,,,,42211000.0,6094000.0,7099000.0,,,,,,68000.0,,,,,,,1424000.0,21003000.0,,,35112000.0,,,
755001,33200000.0,,,139300000.0,1477900000.0,6000000.0,,,,25000000.0,,15012310.0,,,,15013542.0,,,,,1477900000.0,136100000.0,,,,,,,5200000.0,,,,,,,,103700000.0,,,389200000.0,,,
756894,,,,,,,,,,,,,,,,1778189894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
758743,1207000.0,,,7966000.0,10615000.0,342000.0,,,,50000000.0,9732000.0,5878000.0,7293000.0,,,5878290.0,,,,,10615000.0,5222000.0,6281000.0,,,,,,1256000.0,,10000000.0,0.0,0.0,,,1111000.0,13042000.0,,,4334000.0,,,
759944,,-60000000.0,18940000000.0,,183349000000.0,,,,12733000000.0,1000000000.0,569876133.0,427209831.0,6000000.0,98000000.0,,425106419.0,,,,,183349000000.0,,160676000000.0,,,,,,800000000.0,,100000000.0,2000000.0,2000000.0,,,759000000.0,6445000000.0,,,22673000000.0,4000000.0,,
760498,,7430000.0,,,9212357000.0,,,,,40000000.0,32719852.0,32719852.0,32720000.0,,,32746513.0,,,,,9212357000.0,,8144472000.0,,,,,,4400000.0,,,,,,,261677000.0,871161000.0,,,1067885000.0,,,
761238,,,144944000.0,82127000.0,106906000.0,36289000.0,,,36856000.0,100000000.0,43724446.0,43724446.0,440000.0,7682000.0,,43724446.0,,,,,106906000.0,25352000.0,,,,,,,10581000.0,,,,,,,13968000.0,-73351000.0,,,72033000.0,,,
761648,,-18816000.0,879790000.0,,1177251000.0,1637000.0,,,,150000000.0,13530000.0,13530000.0,812000.0,,,13569329.0,,,,,1177251000.0,,689793000.0,,,,,,13828000.0,,12500000.0,,,,,85000.0,,,,483498000.0,,,
763532,18499000.0,54000.0,,99417000.0,181281000.0,13584000.0,,,,40000000.0,,26385721.0,129622000.0,,,26435719.0,206799551.0,,,,181281000.0,41236000.0,,,,,,,7684000.0,,1000000.0,0.0,,,,,-403000.0,,,,,,
763563,,2401000.0,,,2279451000.0,108538000.0,,,108538000.0,10000000.0,5310076.0,,53000.0,,,,,,,,2279451000.0,,2079752000.0,,,,,,7145000.0,,,,,,,20119000.0,168006000.0,,,199699000.0,0.0,,
763744,,7089000.0,,869801000.0,2298031000.0,51821000.0,,,51821000.0,75000000.0,28243000.0,25156000.0,282000.0,2809000.0,,,,,,,2298031000.0,416394000.0,1389705000.0,,,,,,104179000.0,,,,,,,387218000.0,731710000.0,,,908326000.0,8921000.0,,
763901,,189991000.0,4571534000.0,,65926000000.0,,,,497094000.0,170000000.0,104508290.0,84244235.0,1045000.0,520096000.0,,,,,,,65926000000.0,,59897313000.0,,,,,,131921000.0,,30000000.0,885726.0,885726.0,,,510241000.0,2260928000.0,,,6028687000.0,14800000.0,,
763907,,-28863000.0,30149000.0,,1733414000.0,149432000.0,,,149432000.0,25000000.0,6992911.0,6992911.0,70000.0,2743000.0,,,,,,,1733414000.0,,1602367000.0,,,,,,2408000.0,,,,,,,36863000.0,129691000.0,,,131047000.0,,,
764038,,47589000.0,3765406000.0,,37789873000.0,,,,4609255000.0,160000000.0,70973477.0,70973477.0,177434000.0,5635000.0,,,,,,,37789873000.0,,33141993000.0,,,,,,113400000.0,,,,,,,,657451000.0,,,4647880000.0,0.0,,
764065,1575000000.0,-133000000.0,5431000000.0,5298000000.0,16771000000.0,112000000.0,,,112000000.0,600000000.0,506832537.0,477517372.0,,836000000.0,,,,,,,16771000000.0,2929000000.0,13692000000.0,,,,,,,,,,,,,8743000000.0,-2989000000.0,,,2018000000.0,107000000.0,,
764180,380000000.0,-4341000000.0,,7117000000.0,47414000000.0,4945000000.0,,,5006000000.0,12000000000.0,2805961317.0,1858419165.0,935000000.0,2817000000.0,,,,,,,47414000000.0,9063000000.0,44449000000.0,,,,,,,,,,,,,2012000000.0,34679000000.0,,,2839000000.0,74000000.0,,
764195,3734000.0,1265000.0,75530000.0,132041000.0,209372000.0,93825000.0,,,,,247039010.0,247039010.0,403528000.0,68225000.0,,,,,,,209372000.0,17348000.0,,,,,,,1554000.0,,,,,,,10721000.0,-308618000.0,,,171705000.0,,,
764401,31761000.0,-1956000.0,,168883000.0,309951000.0,50182000.0,,,,,,,19314000.0,162000.0,,19313967.0,,,,,309951000.0,46773000.0,,,,,,,2494000.0,,,,,,,101351000.0,149660000.0,,,243734000.0,,,
764478,6979000000.0,328000000.0,,12540000000.0,19067000000.0,5494000000.0,,,5625000000.0,1000000000.0,256900000.0,256900000.0,26000000.0,127000000.0,,258944852.0,,,,,19067000000.0,10521000000.0,,,,,,,2612000000.0,,400000.0,0.0,0.0,,,2260000000.0,4233000000.0,,,4587000000.0,327000000.0,,
764622,318585000.0,-62796000.0,,1198319000.0,20020421000.0,59968000.0,,,59968000.0,150000000.0,112760051.0,,2677482000.0,,,,,,,,20020421000.0,1360433000.0,,,,,,,505064000.0,,,,,,,13727575000.0,3025106000.0,,,5633503000.0,45655000.0,,
764630,,,2679855.0,,221.0,221.0,,,221.0,30000000.0,3552502.0,,35525.0,,,,,,,,221.0,2424942.0,2424942.0,,,,,,,,2000000.0,1105679.0,1105679.0,,,,-5108704.0,,,-2424721.0,,,
764764,,-595000000.0,,,31991000000.0,,,,425000000.0,2000.0,1.0,1.0,,33000000.0,,,0.0,,,,31991000000.0,,28500000000.0,,,,,,,,,,,,,134000000.0,3142000000.0,,,,119000000.0,,
764897,,,54622000.0,,191426000.0,4105000.0,,,9983000.0,50000000.0,22624679.0,22624679.0,225000.0,,,22471479.0,,,,,191426000.0,,147942000.0,,,,,,1287000.0,,20000.0,,500.0,,,107000.0,-10035000.0,,,44812000.0,,,
765207,,,65285000.0,,2361236000.0,,,,26212000.0,18000000.0,10950289.0,10950289.0,110000.0,,,,,,,,2361236000.0,,2137510000.0,,,,,,511000.0,,,,,,,27251000.0,158359000.0,,,223726000.0,,,
765880,,-3685000.0,10175235000.0,,15920089000.0,44226000.0,,,111432000.0,750000000.0,538405393.0,538405393.0,538405000.0,33519000.0,,538686262.0,,,,,15920089000.0,,8572743000.0,,,,,,192349000.0,,,,,,,,,,,6733723000.0,469000.0,,
766011,,,,,,,,,,,,,,,,12118823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
766404,,,81323.0,,2711.0,2711.0,,,2711.0,200000000.0,1233853.0,1233853.0,1233.0,223884.0,,1233853.0,,,,,2711.0,75370.0,838216.0,,,,,,,,50000000.0,0.0,0.0,,,,-918061.0,,,-835505.0,,,
766421,108000000.0,-494000000.0,,4006000000.0,14046000000.0,1370000000.0,,,1386000000.0,400000000.0,133567534.0,124217590.0,1000000.0,,,124226396.0,,,,,14046000000.0,4293000000.0,,,,,,,1400000000.0,,5000000.0,0.0,0.0,,,6211000000.0,3764000000.0,,,2988000000.0,35000000.0,,
766701,,40884000.0,1268439000.0,,8405250000.0,257180000.0,,,,250000000.0,96481000.0,96481000.0,965000.0,80000.0,,,,,,,8405250000.0,,7495087000.0,,,,,,,,100000000.0,,,,,,-651071000.0,,,910163000.0,,,
766704,,-148504000.0,20823145000.0,,32483642000.0,1545046000.0,,,2021043000.0,700000000.0,419124469.0,417400602.0,418691000.0,244938000.0,,417383039.0,,,,,32483642000.0,,15258580000.0,,,,,,,,50000000.0,0.0,0.0,,,,8327598000.0,,,15972719000.0,,,
766792,817933.0,,,11789957.0,40935925.0,7699335.0,,,,20000000.0,6678698.0,6678698.0,66786.0,3381133.0,,,,,,,40935925.0,3704296.0,16810353.0,,,,,,,,,,,,,28843563.0,-2902898.0,,,24125572.0,,,
766829,34200000.0,-1064000.0,,127331000.0,3311465000.0,5269000.0,,,9269000.0,70000000.0,28556605.0,28556605.0,29000.0,0.0,,,,,,,3311465000.0,350795000.0,,,,,,,,,1000000.0,0.0,0.0,,,,408037000.0,,,917160000.0,6468000.0,,
767405,,2210000.0,,,1257839000.0,140690000.0,,,140690000.0,10000000.0,8180712.0,,54463000.0,,,,,,,,1257839000.0,,1114916000.0,,,,,,,,200000.0,,0.0,,,23557000.0,84578000.0,,,142923000.0,,,
768216,,,22487937.0,1139.0,1139.0,,,,,200000000.0,2301968.0,2301968.0,2302.0,2201000.0,,,,,,,1139.0,6110290.0,,,,,,,,,,,,,,,-28599390.0,,,-6109151.0,,,
768408,1550000.0,,33182000.0,15023000.0,31113000.0,3322000.0,,,,50000000.0,6097073.0,6097073.0,122000.0,,,6097073.0,,,,,31113000.0,6659000.0,13956000.0,,,,,,3598000.0,,10000000.0,0.0,0.0,,,12363000.0,-16147000.0,,,17157000.0,0.0,,
768411,5118000.0,-1102000.0,,53102000.0,79716000.0,8399000.0,,,8399000.0,25000000.0,7294617.0,7294617.0,37817000.0,1414000.0,,,,,,,79716000.0,10653000.0,14188000.0,,,,,,2621000.0,,5000000.0,,0.0,,,3235000.0,28813000.0,,,65528000.0,1789000.0,,
768835,398433000.0,,,1585789000.0,4037257000.0,559556000.0,,,559556000.0,298000000.0,117495000.0,35535000.0,1175000.0,2105000.0,,37110016.0,,,,,4037257000.0,1000624000.0,,,,,,,1649009000.0,,2000000.0,0.0,,,,717216000.0,3351002000.0,,,1277731000.0,9465000.0,,
768899,,-14828000.0,,378885000.0,980577000.0,62507000.0,,,118612000.0,100000000.0,35493000.0,35493000.0,,3072000.0,,35485980.0,,,,,980577000.0,268967000.0,543387000.0,,,,,,65940000.0,,20000000.0,0.0,0.0,,,71734000.0,452017000.0,,,437190000.0,1930000.0,,
