cik,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockValue_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,RetainedEarningsAccumulatedDeficit_USD,StockholdersEquity_USD
1325670,,3088673000.0,196185000.0,45000000.0,24368612.0,243000.0,3088673000.0,,2698119000.0,77956000.0,390554000.0
1671933,2310317000.0,2753645000.0,437353000.0,,,0.0,2753645000.0,1474683000.0,1740500000.0,474367000.0,1013145000.0
1058290,6851000000.0,16923000000.0,2680000000.0,1000000000.0,530000000.0,5000000.0,16923000000.0,3540000000.0,6087000000.0,10689000000.0,10836000000.0
1333141,,,,,,,,,,,
1768446,21998000.0,24631000.0,20487000.0,40000000.0,3418751.0,1000.0,24631000.0,3063000.0,3063000.0,-28136000.0,-24983000.0
1237831,821765000.0,1679485000.0,,775000000.0,,,1679485000.0,120792000.0,173188000.0,1045082000.0,1506297000.0
1785530,92914000.0,96398000.0,92570000.0,193500000.0,1746000.0,2000.0,96398000.0,5284000.0,7179000.0,-51865000.0,-51863000.0
1833909,117097.0,117097.0,,,,,117097.0,152635.0,152635.0,-60538.0,-35538.0
1784254,15200000.0,146351000.0,4171000.0,,,,146351000.0,10759000.0,133101000.0,-31852000.0,
1830503,,,,,,,,,,,-1663859.0
1734722,734430000.0,866461000.0,357690000.0,,,,866461000.0,365156000.0,448197000.0,-970360000.0,-803704000.0
1494650,180652000.0,188813000.0,,200000000.0,52945865.0,53000.0,188813000.0,52172000.0,182025000.0,-527765000.0,6788000.0
80035,256314000.0,461087000.0,45175000.0,15000000.0,4902233.0,13028000.0,461087000.0,103774000.0,,379035000.0,292078000.0
1373670,,988847000.0,19479000.0,100000000.0,51053858.0,511000.0,988847000.0,,325895000.0,349656000.0,640242000.0
1698113,35106430.0,48182049.0,22202706.0,,,,48182049.0,60898619.0,60898619.0,-12719857.0,-12716570.0
1469317,,6787420.0,5289062.0,,,,6787420.0,,434661.0,,
1443669,242002000.0,744204000.0,127603000.0,150000000.0,26776796.0,27000.0,744204000.0,50254000.0,99848000.0,362901000.0,644356000.0
1178253,98206000.0,102536000.0,93041000.0,100000000.0,19663698.0,,102536000.0,26396000.0,79778000.0,-326613000.0,22758000.0
1908984,,,,,,,,,,,593923.0
1004530,,,,,,,,,,,
894158,7934000.0,8410000.0,6227000.0,200000000.0,29252253.0,29000.0,8410000.0,2966000.0,3152000.0,-248094000.0,-4767000.0
1393434,246160000.0,261863000.0,228057000.0,100000000.0,75996732.0,8000.0,261863000.0,26664000.0,185768000.0,-539251000.0,76095000.0
1474464,,,,,,,,,,,
1541119,,861402000.0,193828000.0,40000000.0,2592587.0,25000.0,861402000.0,,775918000.0,58226000.0,85484000.0
1314772,53478000.0,74737000.0,510000.0,49000000.0,2162459.0,2000.0,74737000.0,38524000.0,69617000.0,-70190000.0,5120000.0
1484612,345911000.0,403829000.0,294972000.0,300000000.0,42722000.0,43000.0,403829000.0,36692000.0,75220000.0,-494059000.0,328609000.0
1830033,64938000.0,407977000.0,64492000.0,,0.0,,407977000.0,33075000.0,296228000.0,-80714000.0,111749000.0
1324272,130294000.0,542674000.0,95402000.0,100000000.0,34256921.0,343000.0,542674000.0,108321000.0,435230000.0,23677000.0,107444000.0
1110795,,6458647000.0,,,,,,,75396000.0,,
1348036,832907000.0,1602333000.0,673593000.0,600000000.0,85058000.0,9000.0,1602333000.0,378948000.0,522173000.0,-567251000.0,1080160000.0
1841420,,,0.0,,,,,,,,0.0
1158420,,371204605.0,1253331.0,50000000.0,22525000.0,22525.0,371204605.0,,195596038.0,,175608567.0
1378992,3983000000.0,17176000000.0,847000000.0,,133900000.0,1000000.0,17176000000.0,2295000000.0,14731000000.0,1738000000.0,
1447051,,2110799000.0,363543000.0,100000000.0,9513867.0,95000.0,2110799000.0,,1862091000.0,200066000.0,248708000.0
1712762,,,,,,,,,,,-15072863.0
1639068,,9520719.0,144664.0,100000000.0,26237125.0,26237.0,9520719.0,,10421298.0,-1669372.0,-900579.0
27419,20756000000.0,51248000000.0,,6000000000.0,500877129.0,42000000.0,51248000000.0,20125000000.0,,8825000000.0,14440000000.0
1641631,23079371.0,24817087.0,22016000.0,100000000.0,18381227.0,1838.0,24817087.0,2887942.0,7606909.0,-75230321.0,17210178.0
1712178,114110000.0,371863000.0,84999000.0,200000000.0,112951232.0,1067000.0,371863000.0,179058000.0,295004000.0,-39850000.0,75879000.0
1636222,72620000.0,211565000.0,40858000.0,100000000.0,29687123.0,297000.0,211565000.0,50473000.0,552875000.0,-342028000.0,-341310000.0
1674440,4424340.0,4538624.0,,300000000.0,27346746.0,27347.0,4538624.0,11192727.0,11192727.0,-15417751.0,-6654103.0
1523836,84808000.0,158028000.0,61477000.0,750000000.0,244895045.0,17000.0,158028000.0,96851000.0,108651000.0,-204571000.0,
907254,,1645572000.0,26856000.0,40000000.0,23476626.0,235000.0,1645572000.0,,1218039000.0,-241535000.0,364325000.0
1758488,82182000.0,702279000.0,41552000.0,,,,702279000.0,37075000.0,381451000.0,-323246000.0,320828000.0
1799850,5491000.0,5492000.0,5384000.0,100000000.0,6274566.0,1000.0,5492000.0,194000.0,194000.0,-4897000.0,5298000.0
1635077,,,14984.0,,,,,,,,-7083601.0
1707753,574040000.0,899980000.0,393134000.0,165000000.0,89644940.0,937000.0,899980000.0,371421000.0,444399000.0,-570017000.0,455581000.0
1653087,421511000.0,488251000.0,49969000.0,200000000.0,81986192.0,8000.0,488251000.0,68088000.0,220721000.0,-410048000.0,267530000.0
1832737,230000.0,230000.0,1975.0,,,,230000.0,205998.0,205998.0,-998.0,24002.0
912505,,,,,,,,,,,
731288,,10210500000.0,,200000.0,145000.0,14500000.0,10210500000.0,,8373700000.0,1668700000.0,1836800000.0
1425450,158429000.0,320412000.0,28758000.0,50000000.0,19560291.0,5000.0,320412000.0,35028000.0,85644000.0,-161766000.0,234768000.0
1501862,65176.0,65176.0,65178.0,980000000.0,257301000.0,257301.0,65176.0,209933.0,209933.0,-1240630.0,-144757.0
1499355,,0.0,0.0,500000000.0,707018.0,707.0,0.0,0.0,0.0,-936754.0,
1124160,490701.0,1265884.0,271447.0,,8136348.0,19491842.0,1265884.0,49515.0,,-21137102.0,1216369.0
1035002,15844000000.0,51774000000.0,3313000000.0,1200000000.0,673501593.0,7000000.0,51774000000.0,9283000000.0,,28953000000.0,18801000000.0
1834342,59900.0,142000.0,59900.0,,,,142000.0,138211.0,138211.0,-21211.0,3789.0
1107843,475345000.0,736819000.0,74132000.0,1000000000.0,39253000.0,39000.0,736819000.0,255730000.0,332337000.0,3568000.0,404482000.0
10254,34733000.0,1005257000.0,,,,,1005257000.0,55494000.0,,-195258000.0,344881000.0
1483934,,,,,,,,,,,
1722271,310636000.0,333350000.0,68932000.0,200000000.0,34383719.0,3000.0,333350000.0,10709000.0,22736000.0,-81724000.0,310614000.0
1114445,,,,,142239.0,,,,,,
1829322,25010.0,116489.0,25010.0,50000000.0,5622750.0,562.0,116489.0,93261.0,93261.0,-2642.0,23228.0
1733298,378899040.0,446874725.0,75781592.0,,,,446874725.0,289040664.0,476275140.0,-920647797.0,-196287281.0
1576018,,3535200000.0,526000000.0,300000000.0,95582733.0,9600000.0,3535200000.0,,1969900000.0,620400000.0,1563900000.0
1459839,218241000.0,223142000.0,53581000.0,100000000.0,32583220.0,3000.0,223142000.0,13470000.0,53779000.0,-239277000.0,169363000.0
1854963,,,,,,,,,,,4354021.0
1141788,932000.0,932000.0,,900000000.0,404044937.0,30297000.0,932000.0,557000.0,557000.0,-30139000.0,375000.0
874766,,74111000000.0,,1500000000.0,384923222.0,4000000.0,74111000000.0,,55555000000.0,13918000000.0,18556000000.0
1505732,,2253747000.0,,10000000.0,7919278.0,121338000.0,2253747000.0,,2077145000.0,70839000.0,176602000.0
1473334,43294903.0,46478522.0,8744784.0,15000000.0,5596234.0,5596.0,46478522.0,2025283.0,5550047.0,351370.0,40928475.0
704415,154254000.0,578983000.0,100385000.0,120000000.0,,49000.0,578983000.0,81835000.0,,-464085000.0,3656000.0
899394,147850000.0,350453000.0,130373000.0,100000000.0,55481140.0,555000.0,350453000.0,70442000.0,220728000.0,-171770000.0,116525000.0
1808997,178448000.0,341405000.0,45510000.0,100000000.0,14010359.0,14000.0,341405000.0,38068000.0,63701000.0,13281000.0,277704000.0
1792267,386769000.0,408129000.0,290469000.0,0.0,0.0,0.0,408129000.0,37018000.0,37093000.0,-217343000.0,371036000.0
1313275,85515000.0,186803000.0,37472000.0,100000000.0,40152021.0,40000.0,186803000.0,98940000.0,107201000.0,-206438000.0,79602000.0
903571,,,,,,,,,,,
1846235,,,,,,,,,,,0.0
